FR;FRNW;FRNN;Weibull_FR;Normal_FR;FW;FWNW;FWNN;Weibull_FW;Normal_FW;FT;FTNW;FTNW;Weibull_FT;Normal_FT;;;Weibull;Normal;;Weibull;Normal;;Weibull;Normal
267.4245754;-4.299710409;-10.93636532;0;2.72274E-26;25.16983017;-23.10190135;-61.11154968;0;0;106.5849151;-2.743973133;-9.207130579;0;8.91953E-19;;;;;;;;;;
267.4295704;-4.284577296;-10.9044257;0;3.85909E-26;25.17182817;-23.06247798;-61.01125822;0;0;106.5859141;-2.741700802;-9.201417878;0;9.40108E-19;;;;;;;;;;
267.4345654;-4.269444183;-10.87248609;0;5.46413E-26;25.17382617;-23.02305462;-60.91096676;0;0;106.5869131;-2.739428471;-9.195705178;0;9.9083E-19;;;;;;;;;;
267.4395604;-4.25431107;-10.84054647;0;7.72884E-26;25.17582418;-22.98363126;-60.8106753;0;0;106.5879121;-2.73715614;-9.189992478;0;1.04425E-18;;;;;;;;;;
267.4445554;-4.239177957;-10.80860686;0;1.0921E-25;25.17782218;-22.94420789;-60.71038384;0;0;106.5889111;-2.734883809;-9.184279777;0;1.10052E-18;;;;;;;;;;
267.4495504;-4.224044844;-10.77666724;0;1.5416E-25;25.17982018;-22.90478453;-60.61009238;0;0;106.5899101;-2.732611478;-9.178567077;0;1.15979E-18;;;;;;;;;;
267.4545455;-4.20891173;-10.74472762;0;2.17388E-25;25.18181818;-22.86536116;-60.50980092;0;0;106.5909091;-2.730339147;-9.172854377;0;1.2222E-18;;;;;;;;;;
267.4595405;-4.193778617;-10.71278801;0;3.06235E-25;25.18381618;-22.8259378;-60.40950946;0;0;106.5919081;-2.728066816;-9.167141676;0;1.28794E-18;;;;;;;;;;
267.4645355;-4.178645504;-10.68084839;0;4.30956E-25;25.18581419;-22.78651444;-60.309218;0;0;106.5929071;-2.725794485;-9.161428976;0;1.35716E-18;;;;;;;;;;
267.4695305;-4.163512391;-10.64890878;0;6.05854E-25;25.18781219;-22.74709107;-60.20892654;0;0;106.5939061;-2.723522154;-9.155716276;0;1.43006E-18;;;;;;;;;;
267.4745255;-4.148379278;-10.61696916;0;8.50863E-25;25.18981019;-22.70766771;-60.10863508;0;0;106.5949051;-2.721249823;-9.150003575;0;1.50682E-18;;;;;;;;;;
267.4795205;-4.133246165;-10.58502955;0;1.19374E-24;25.19180819;-22.66824434;-60.00834362;0;0;106.5959041;-2.718977492;-9.144290875;0;1.58765E-18;;;;;;;;;;
267.4845155;-4.118113052;-10.55308993;0;1.67307E-24;25.19380619;-22.62882098;-59.90805216;0;0;106.5969031;-2.716705161;-9.138578174;0;1.67277E-18;;;;;;;;;;
267.4895105;-4.102979939;-10.52115031;0;2.34248E-24;25.1958042;-22.58939762;-59.8077607;0;0;106.5979021;-2.71443283;-9.132865474;0;1.76239E-18;;;;;;;;;;
267.4945055;-4.087846826;-10.4892107;0;3.27639E-24;25.1978022;-22.54997425;-59.70746924;0;0;106.5989011;-2.712160499;-9.127152774;0;1.85675E-18;;;;;;;;;;
267.4995005;-4.072713713;-10.45727108;0;4.57796E-24;25.1998002;-22.51055089;-59.60717778;0;0;106.5999001;-2.709888168;-9.121440073;0;1.95609E-18;;;;;;;;;;
267.5044955;-4.0575806;-10.42533147;0;6.39006E-24;25.2017982;-22.47112752;-59.50688632;0;0;106.6008991;-2.707615837;-9.115727373;0;2.06069E-18;;;;;;;;;;
267.5094905;-4.042447487;-10.39339185;0;8.91037E-24;25.2037962;-22.43170416;-59.40659486;0;0;106.6018981;-2.705343506;-9.110014673;0;2.17081E-18;;;;;;;;;;
267.5144855;-4.027314374;-10.36145224;0;1.2412E-23;25.20579421;-22.39228079;-59.3063034;0;0;106.6028971;-2.703071175;-9.104301972;0;2.28674E-18;;;;;;;;;;
267.5194805;-4.01218126;-10.32951262;0;1.72722E-23;25.20779221;-22.35285743;-59.20601194;0;0;106.6038961;-2.700798844;-9.098589272;0;2.40878E-18;;;;;;;;;;
267.5244755;-3.997048147;-10.297573;0;2.40109E-23;25.20979021;-22.31343407;-59.10572048;0;0;106.6048951;-2.698526513;-9.092876572;0;2.53725E-18;;;;;;;;;;
267.5294705;-3.981915034;-10.26563339;0;3.33447E-23;25.21178821;-22.2740107;-59.00542902;0;0;106.6058941;-2.696254182;-9.087163871;0;2.67249E-18;;;;;;;;;;
267.5344655;-3.966781921;-10.23369377;0;4.62596E-23;25.21378621;-22.23458734;-58.90513756;0;0;106.6068931;-2.693981851;-9.081451171;0;2.81484E-18;;;;;;;;;;
267.5394605;-3.951648808;-10.20175416;0;6.41112E-23;25.21578422;-22.19516397;-58.8048461;0;0;106.6078921;-2.691709519;-9.075738471;0;2.96468E-18;;;;;;;;;;
267.5444555;-3.936515695;-10.16981454;0;8.87611E-23;25.21778222;-22.15574061;-58.70455464;0;0;106.6088911;-2.689437188;-9.07002577;0;3.1224E-18;;;;;;;;;;
267.5494505;-3.921382582;-10.13787493;0;1.22763E-22;25.21978022;-22.11631725;-58.60426318;0;0;106.6098901;-2.687164857;-9.06431307;0;3.28839E-18;;;;;;;;;;
267.5544456;-3.906249469;-10.10593531;0;1.69618E-22;25.22177822;-22.07689388;-58.50397172;0;0;106.6108891;-2.684892526;-9.05860037;0;3.4631E-18;;;;;;;;;;
267.5594406;-3.891116356;-10.07399569;0;2.34116E-22;25.22377622;-22.03747052;-58.40368026;0;0;106.6118881;-2.682620195;-9.052887669;0;3.64697E-18;;;;;;;;;;
